[2015-Aug-22 11:15:27.713202] [4]  日志组件初始化完毕
[2015-Aug-22 11:15:42.334178] [3]  语音卡事件: E_RCV_Ss7Msu
[2015-Aug-22 11:15:42.340428] [3]  语音卡事件: E_RCV_Ss7Msu
[2015-Aug-22 11:15:42.345428] [3]  语音卡事件: E_RCV_Ss7Msu
[2015-Aug-22 11:15:42.351678] [3]  语音卡事件: E_RCV_Ss7Msu
[2015-Aug-22 11:15:42.357928] [3]  语音卡事件: E_RCV_Ss7Msu
[2015-Aug-22 11:15:49.436787] [3]  语音卡事件: E_RCV_Ss7Msu
[2015-Aug-22 11:15:49.443037] [0]  业务流水:100 语音卡事件: E_CHG_ChState 状态机：通道状态发生变化, 通道的逻辑编号:0, 通道状态转换值:8192009
[2015-Aug-22 11:15:49.458038] [3]  业务流水:100 语音卡事件: E_PROC_AutoDial, 通道的逻辑编号:0, CPGAutoDial任务进展值:2
[2015-Aug-22 11:15:49.471788] [4]  业务流水:100 在判断ACM后, 接收到 DIAL_ECHOTONE 事件, 挂机. 通道号码:0
[2015-Aug-22 11:15:49.485538] [2]  业务流水:100 本次从呼叫到检测振铃, 共用时: 7410
[2015-Aug-22 11:15:49.495538] [6]  严重：触发振铃时通道不是TRK_CALLOUT_DAIL 或 TRK_CALLOUT_DAIL状态, 流水号:100通道号码:0
[2015-Aug-22 11:15:57.336909] [4]  业务流水:100 语音通道超时, 强制挂断处理, 语音卡通道号 : 0
[2015-Aug-22 11:15:57.348159] [2]  已挂断本次呼叫请求, 通道号码:0
[2015-Aug-22 11:15:57.346909] [0]  业务流水:100 语音卡事件: E_CHG_ChState 状态机：通道状态发生变化, 通道的逻辑编号:0, 通道状态转换值:589945
[2015-Aug-22 11:15:57.369409] [3]  模拟客户端socket发送呼叫结果
[2015-Aug-22 11:16:02.473237] [4]  业务流水:101, 获取到的通道号码:1
[2015-Aug-22 11:16:02.475737] [4]  业务流水:101 已发送请求, 已将此通道对应状态清空, 通道号码:1
